Number;neighbourhood_group;neighbourhood;latitude;longitude
0;Nou Barris;la Guineueta;41.435331583675335;2.169303985451569
0;Nou Barris;la Guineueta;41.439227665706355;2.165779437101995
0;Nou Barris;la Guineueta;41.43964816776802;2.170946755296593
0;Nou Barris;la Guineueta;41.438487982442915;2.16632777593552
0;Nou Barris;la Guineueta;41.44112337197551;2.1672306751851047
0;Nou Barris;la Guineueta;41.43658184266796;2.1713334037440633
0;Nou Barris;la Guineueta;41.43843682736499;2.1670744086213096
2;Horta-Guinardó;Horta;41.4409957174775;2.1595993261387627
2;Horta-Guinardó;Horta;41.43608272792618;2.1597100065231625
2;Horta-Guinardó;Horta;41.43068722164698;2.1616564318036064
2;Horta-Guinardó;Horta;41.43590125548473;2.155816246541215
2;Horta-Guinardó;Horta;41.43593080508399;2.159558634120126
2;Horta-Guinardó;Horta;41.439436025898885;2.157688735317713
2;Horta-Guinardó;Horta;41.43655571044293;2.1599363075378886
2;Horta-Guinardó;Horta;41.43744005067825;2.157919434846866
2;Horta-Guinardó;Horta;41.431740752562355;2.1627117697178955
2;Horta-Guinardó;Horta;41.43560669778983;2.1599241929896698
2;Horta-Guinardó;Horta;41.44003513354938;2.1585289156368215
2;Horta-Guinardó;Horta;41.431540383117486;2.15778481521233
2;Horta-Guinardó;Horta;41.4319539612899;2.157112836704904
2;Horta-Guinardó;Horta;41.427845229640305;2.159074771026031
2;Horta-Guinardó;Horta;41.433968380738094;2.163217181645041
2;Horta-Guinardó;Horta;41.434209016191836;2.1537423768281743
2;Horta-Guinardó;Horta;41.435350286112936;2.1594965505311587
2;Horta-Guinardó;Horta;41.43580974367446;2.157256445043686
2;Horta-Guinardó;Horta;41.435880796081385;2.1564964697106026
2;Horta-Guinardó;Horta;41.4330264580868;2.1579971398512647
2;Horta-Guinardó;Horta;41.436097723207176;2.1559125744320284
2;Horta-Guinardó;Horta;41.43785206245197;2.1633465859419365
2;Horta-Guinardó;Horta;41.43462532205743;2.155671467578435
2;Horta-Guinardó;Horta;41.43080973283411;2.1592162504436545
2;Horta-Guinardó;Horta;41.42780036515632;2.1584658188019494
2;Horta-Guinardó;Horta;41.43170424818323;2.1589031040926714
2;Horta-Guinardó;Horta;41.43096897174789;2.1591197686856405
2;Horta-Guinardó;Horta;41.429375818509776;2.160856607212819
2;Horta-Guinardó;Horta;41.43409778662367;2.1543380172984152
2;Horta-Guinardó;Horta;41.43218915313208;2.159013968555054
2;Horta-Guinardó;Horta;41.43218717915509;2.1555859997531512
2;Horta-Guinardó;Horta;41.43609333701744;2.158452343121826
2;Horta-Guinardó;Horta;41.43845863273225;2.1555964908539478
2;Horta-Guinardó;Horta;41.43040914812894;2.164774665490741
2;Horta-Guinardó;Horta;41.428556753010135;2.1623258969154713
2;Horta-Guinardó;Horta;41.438191721937734;2.155779875988112
2;Horta-Guinardó;Horta;41.43710018047457;2.156476251403546
2;Horta-Guinardó;Horta;41.43693802564764;2.162196846424318
2;Horta-Guinardó;Horta;41.44004634110656;2.1600231272707338
2;Horta-Guinardó;Horta;41.44001421386121;2.159428104945984
2;Horta-Guinardó;Horta;41.44283405615844;2.1467661788178747
2;Horta-Guinardó;Horta;41.43271461052881;2.1560688781083583
2;Horta-Guinardó;Horta;41.43469326004245;2.1543552959427834
2;Horta-Guinardó;Horta;41.42582473374489;2.158547396818298
2;Horta-Guinardó;Horta;41.437102520586436;2.1549798270421863
2;Horta-Guinardó;Horta;41.43980195482742;2.1578916845846887
2;Horta-Guinardó;Horta;41.42837735888672;2.161155938877252
3;Sant Andreu;Baró de Viver;41.44733085676391;2.202907967704086
3;Sant Andreu;Baró de Viver;41.448701851574235;2.2044223879391516
3;Sant Andreu;Baró de Viver;41.45008961888274;2.206759542404205
3;Sant Andreu;Baró de Viver;41.451108767719425;2.205093513059947
4;Nou Barris;Can Peguera;41.43401543520743;2.1688780237524004
5;Nou Barris;Canyelles;41.44416830145627;2.1654349076258064
5;Nou Barris;Canyelles;41.44302515731704;2.1675933813857675
5;Nou Barris;Canyelles;41.44111528889889;2.1657861984600273
5;Nou Barris;Canyelles;41.44288041117575;2.165757081366994
5;Nou Barris;Canyelles;41.44239978961292;2.163056086414193
6;Nou Barris;Ciutat Meridiana;41.46333278729856;2.1781141803372415
6;Nou Barris;Ciutat Meridiana;41.46220077114398;2.17613362594035
6;Nou Barris;Ciutat Meridiana;41.45956966287942;2.1768603678238487
6;Nou Barris;Ciutat Meridiana;41.46105063845373;2.1760924310729926
6;Nou Barris;Ciutat Meridiana;41.46002602635595;2.1704146642986015
6;Nou Barris;Ciutat Meridiana;41.462396637956374;2.1771392577489213
6;Nou Barris;Ciutat Meridiana;41.46106888895066;2.1790550322921316
6;Nou Barris;Ciutat Meridiana;41.45972375191437;2.177032595502872
6;Nou Barris;Ciutat Meridiana;41.461591187552195;2.1760844354895896
6;Nou Barris;Ciutat Meridiana;41.46141661300234;2.176873845417515
7;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;41.407244773307525;2.206573717966706
7;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;41.40576159468669;2.209408892119396
7;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;41.40345087831314;2.2132853124902514
7;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;41.40855834822311;2.2085400977679868
7;Sant Martí;Diagonal Mar i el Front Marítim del Poblenou;41.4039789713049;2.211690668685372
